Instituto,Disciplina,Turma,Dia da Semana,Horário Inicio,Horário Fim,Sala,Docentes
FCM,MD758,MD758 A,Terça,14:00,18:00,FM16,"Adriana Gomes Luz, Adyleia Aparecida Dalbo Contrera Toro, Ana Maria Galdini Raimundo Oda, Andre Fattori, Andrea De Melo Alexandre Fraga, Andrea Fernandes Eloy Da Costa Franca, Andrei Carvalho Sposito, Angelica Maria Bicudo, Angelica Zaninelli Schreiber, Arlete Maria Dos Santos Fernandes, Belmiro Goncalves Pereira, Bruno Augusto Goulart Campos, Carlos Roberto Silveira Correa, Cassia Raquel Teatin Juliato, Cassio Cardoso Filho, Celia Regina Garlipp, Celso Dario Ramos, Ciro Garcia Montes, Clarissa De Rosalmeida Dantas, Cristiane Kibune Nagasako Vieira Da Cruz, Cristina Laguna Benetti Pinto, Daniela Angerame Yela Gomes, Daniela Maira Cardozo, Daniele Pompei Sacardo, Diama Bhadra Andrade Peixoto Do Vale, Eder De Carvalho Pincinato, Edison Bueno, Eduardo Marques Gamba, Eliana Martorano Amaral, Elizete Aparecida Lomazi, Erich Vinicius De Paula, Fabiano Reis, Fernanda Garanhani De Castro Surita, Fernanda Loureiro De Andrade Orsi, Giuliane Jesus Lajos, Helaine Maria Besteti Pires M Milanez, Herling Gregorio Aguilar Alonzo, Ibsen Bellini Coimbra, Jamal Baracat, Jean Marcos De Souza, Joana Froes Braganca Bastos, Jose Barreto Campello Carvalheira, Jose Paulo De Siqueira Guida, Juliana Luporini Do Nascimento, Laura Sterian, Licio Augusto Velloso, Lilia Freire Rodrigues De Souza Li, Lucieni De Oliveira Conterno, Luis Fernando Farah De Tofoli, Luiz Claudio Martins, Luiz Francisco Cintra Baccaro, Luiz Gustavo Oliveira Brito, Magnun Nueldo Nunes Dos Santos, Marcia Cristina Das Dores Bandini, Margareth Castro Ozelo, Maria Almerinda Vieira Fernandes R Alves, Maria Angela Bellomo Brandao, Maria Angela Reis De Goes M Antonio, Maria Laura Costa Do Nascimento, Maria Luiza Moretti, Maria Rita Donalisio Cordeiro, Mariana Porto Zambon, Mariangela Ribeiro Resende, Marilda Mazzali, Mauricio Wesley Perroud Junior, Monica Corso Pereira, Nelson Marcio Gomes Caserta, Otavio Rizzi Coelho Filho, Patricia Moretti Rehder, Renata Cruz Soares De Azevedo, Renata Ferreira Magalhaes, Ricardo Mendes Pereira, Roberta Vacari De Alcantara, Rodolfo De Carvalho Pacagnella, Rodrigo Bueno De Oliveira, Roger Frigerio Castilho, Rubens Bedrikow, Sergio Roberto De Lucca, Sergio San Juan Dertkigil, Simone Appenzeller, Susan Elisabeth Domingues Costa Jorge, Tiago Seva Pereira, Vera Maria Santoro Belangero, Wilson Nadruz Junior, Zoraida Sachetto"
FCM,MD934,MD934 A,Terça,18:00,19:00,FM01,Andre Almeida Schenka
FE,AM064,AM064 A,Terça,12:00,14:00,PB13,"Adriane Martins Soares Pelissoni, Juliana Barbosa Consonni, Marilda Aparecida Dantas Graciola, Soely Aparecida Jorge Polydoro"
FE,AM064,AM064 B,Quarta,10:00,12:00,PB01,"Adriane Martins Soares Pelissoni, Leonardo Augusto Cardoso de Oliveira, Marilda Aparecida Dantas Graciola, Soely Aparecida Jorge Polydoro"
FE,AM064,AM064 C,Quarta,12:00,14:00,PB02,"Adriane Martins Soares Pelissoni, Marcela Soares Polato Paes, Marilda Aparecida Dantas Graciola, Soely Aparecida Jorge Polydoro"
FE,AM097,AM097 A,Segunda,19:00,23:00,ED11,"Alik Wunder, Chantal Victoria Medaets"
FE,AM097,AM097 B,Sexta,14:00,18:00,PB01,Artionka Manuela Goes Capiberibe
FE,AM097,AM097 C,Segunda,19:00,23:00,UL04,Jamille Da Silva Lima
FE,AM112,AM112 A,Quarta,19:00,23:00,PB01,Jackeline Rodrigues Mendes
FE,AM112,AM112 B,Sexta,19:00,23:00,SA12,Marli De Freitas Gomes Hernandez
FE,AM114,AM114 A,Quinta,12:00,13:00,PB13,"Adriane Martins Soares Pelissoni, Marilda Aparecida Dantas Graciola, Soely Aparecida Jorge Polydoro"
FE,EL105,EL105 A,Segunda,16:00,18:00,ED07,Rogerio Adolfo De Moura
FE,EL105,EL105 B,Segunda,21:00,23:00,ED07,Carlos Eduardo Albuquerque Miranda
FE,EL105,EL105 C,Segunda,19:00,21:00,ED07,Carlos Eduardo Albuquerque Miranda
FE,EL106,EL106 A,Segunda,19:00,21:00,LL01,Andre Luiz Correia Goncalves De Oliveira
FE,EL109,EL109 A,Terça,19:00,23:00,LL01,Maria Ines De Freitas Petrucci S Rosa
FE,EL110,EL110 A,Segunda,14:00,16:00,LL01,Wenceslao Machado De Oliveira Junior
FE,EL111,EL111 B,Terça,16:00,18:00,LL03,Eliana Ayoub
FE,EL112,EL112 A,Quarta,19:00,23:00,PB06,Alexandrina Monteiro
FE,EL142,EL142 A,Quinta,14:00,18:00,ED02,Anderson Ricardo Trevisan
FE,EL142,EL142 B,Sexta,19:00,23:00,PB07,Anderson Ricardo Trevisan
FE,EL204,EL204 A,Segunda,19:00,21:00,LL02,Miriam Cardoso Utsumi
FE,EL208,EL208 A,Quinta,19:00,21:00,PB08,Carmen Lucia Rodrigues Arruda
FE,EL212,EL212 A,Terça,14:00,18:00,ED05,Sandra Fernandes Leite
FE,EL212,EL212 B,Segunda,14:00,18:00,ED02,Debora Cristina Jeffrey
FE,EL212,EL212 C,Quarta,19:00,21:00,PB02,Sandra Fernandes Leite
FE,EL212,EL212 D,Sexta,19:00,23:00,PB11,Lucas Barbosa Pelissari
FE,EL213,EL213 A,Segunda,14:00,18:00,ED05,Aryane Santos Nogueira
FE,EL213,EL213 C,Quinta,19:00,23:00,ED02,Aryane Santos Nogueira
FE,EL285,EL285 A,Segunda,14:00,16:00,LL02,Juliano Camillo
FE,EL485,EL485 A,Terça,14:00,18:00,PB07,Fabiana De Cassia Rodrigues
FE,EL485,EL485 B,Sexta,19:00,23:00,PB08,Manoel Francisco Do Amaral
FE,EL511,EL511 A,Terça,14:00,18:00,ED02,"Evely Boruchovitch, Soely Aparecida Jorge Polydoro"
FE,EL511,EL511 B,Sexta,19:00,23:00,ED06,Ana Lucia Horta Nogueira
FE,EL511,EL511 C,Terça,08:00,12:00,ED02,Camila Alves Fior
FE,EL511,EL511 D,Quinta,19:00,23:00,ED01,Soely Aparecida Jorge Polydoro
FE,EL511,EL511 E,Quinta,14:00,18:00,ED05,Telma Pileggi Vinha
FE,EL511,EL511 F,Sexta,19:00,23:00,PB09,Camila Alves Fior
FE,EL511,EL511 H,Quinta,08:00,12:00,ED01,Telma Pileggi Vinha
FE,EL511,EL511 I,Terça,14:00,18:00,ED06,"Heloisa Andreia De Matos Lins, Lilian Cristine Ribeiro Nascimento"
FE,EL511,EL511 K,Terça,08:00,12:00,ED06,Soely Aparecida Jorge Polydoro
FE,EL511,EL511 L,Quinta,19:00,23:00,ED05,"Heloisa Andreia De Matos Lins, Lilian Cristine Ribeiro Nascimento"
FE,EL683,EL683 B,Terça,14:00,18:00,ED11,Mara Regina Lemes De Sordi
FE,EL683,EL683 C,Sexta,08:00,12:00,ED01,Carlos Eduardo Albuquerque Miranda
FE,EL683,EL683 D,Sexta,19:00,23:00,PB10,Alik Wunder
FE,EL683,EL683 F,Segunda,19:00,23:00,ED03,Eliana Ayoub
FE,EL684,EL684 A,Quarta,19:00,23:00,ED07,Miriam Cardoso Utsumi
FE,EL684,EL684 B,Quarta,19:00,23:00,PB07,Carlos Miguel Da Silva Ribeiro
FE,EL774,EL774 1,Quinta,14:00,18:00,ED10,Nora Rut Krawczyk
FE,EL774,EL774 2,Quinta,14:00,18:00,LL02,Mara Regina Martins Jacomeli
FE,EL774,EL774 3,Quinta,14:00,18:00,SM01,Fabiana De Cassia Rodrigues
FE,EL774,EL774 4,Quinta,14:00,18:00,SM02,Regis Henrique Dos Reis Silva
FE,EL774,EL774 6,Quinta,14:00,18:00,SM03,Rogerio Adolfo De Moura
FE,EL774,EL774 7,Quinta,14:00,18:00,ED03,Claudia Beatriz De Castro N Ometto
FE,EL774,EL774 8,Quinta,14:00,18:00,IB14,Wenceslao Machado De Oliveira Junior
FE,EL774,EL774 9,Quinta,14:00,18:00,CL03,Elisabete Figueroa Dos Santos
FE,EL774,EL774 A,Quinta,14:00,18:00,ED06,Ana Lucia Horta Nogueira
FE,EL774,EL774 B,Quinta,14:00,18:00,LL01,Evely Boruchovitch
FE,EL774,EL774 C,Quinta,14:00,18:00,PB07,"Heloisa Andreia De Matos Lins, Lilian Cristine Ribeiro Nascimento"
FE,EL774,EL774 D,Quinta,14:00,18:00,ED09,Evaldo Piolli
FE,EL774,EL774 E,Quinta,14:00,18:00,ED08,Ana Elisa Spaolonzi Queiroz Assis
FE,EL774,EL774 F,Quinta,14:00,18:00,ED11,Debora Cristina Jeffrey
FE,EL774,EL774 G,Quinta,14:00,18:00,PB09,Dirceu Da Silva
FE,EL774,EL774 H,Quinta,14:00,18:00,PB10,Pedro Da Cunha Pinto Neto
FE,EL774,EL774 I,Quinta,19:00,23:00,LL01,Evely Boruchovitch
FE,EL774,EL774 J,Quinta,19:00,23:00,SM01,Dirceu Da Silva
FE,EL774,EL774 K,Quinta,19:00,23:00,SM02,Alice Martins Villela Pinto
FE,EL774,EL774 L,Quinta,19:00,23:00,SM03,Cesar Apareciddo Nunes
FE,EL774,EL774 M,Quinta,19:00,23:00,PB12,Manoel Francisco Do Amaral
FE,EL774,EL774 N,Quinta,19:00,23:00,LL02,Maria Cristina Menezes
FE,EL774,EL774 P,Quinta,19:00,23:00,PB11,Ana Maria Fonseca De Almeida
FE,EL774,EL774 Q,Quinta,19:00,23:00,PB10,Claudia Beatriz De Castro N Ometto
FE,EL774,EL774 R,Quinta,19:00,23:00,PB09,Elisabete Figueroa Dos Santos
FE,EL774,EL774 S,Quinta,19:00,23:00,PB05,"Ana Lucia Horta Nogueira, Lavinia Lopes Salomao Magiolino"
FE,EL774,EL774 V,Quinta,19:00,23:00,PB04,Evaldo Piolli
FE,EL774,EL774 W,Quinta,19:00,23:00,PB02,Nima Imaculada Spigolon
FE,EL774,EL774 X,Quinta,19:00,23:00,ED08,Alessandra Aparecida Viveiro
FE,EL774,EL774 Y,Quinta,19:00,23:00,LL03,Jackeline Rodrigues Mendes
FE,EL874,EL874 A,Quinta,19:00,23:00,ED09,Regina Maria De Souza
FE,EL876,EL876 A,Terça,14:00,18:00,ED10,Antonio Carlos Rodrigues De Amorim
FE,EL876,EL876 C,Terça,19:00,23:00,ED09,Alik Wunder
FE,EL876,EL876 D,Terça,19:00,23:00,LL02,Kelly Cristine Sabino
FE,EL921,EL921 A,Quinta,14:00,18:00,ED07,Mara Regina Lemes De Sordi
FE,EP107,EP107 A,Terça,08:00,12:00,ED01,Ines Ferreira De Souza Braganca
FE,EP107,EP107 B,Terça,19:00,23:00,ED01,Ana Lucia Guedes Pinto
FE,EP110,EP110 A,Terça,14:00,18:00,ED01,Lalo Watanabe Minto
FE,EP110,EP110 B,Quinta,19:00,23:00,CB16,Andre Luiz Paulilo
FE,EP129,EP129 A,Quarta,14:00,18:00,ED06,Lavinia Lopes Salomao Magiolino
FE,EP129,EP129 B,Sexta,19:00,23:00,PB01,Lavinia Lopes Salomao Magiolino
FE,EP130,EP130 A,Quinta,14:00,18:00,PB05,"Cesar Apareciddo Nunes, Rene Jose Trentin Silveira"
FE,EP130,EP130 B,Segunda,19:00,23:00,ED01,"Cesar Apareciddo Nunes, Rene Jose Trentin Silveira"
FE,EP139,EP139 A,Sexta,08:00,12:00,ED05,Gabriela Guarnieri De Campos Tebet
FE,EP139,EP139 B,Quarta,19:00,23:00,ED05,Maria Aparecida Guedes Moncao
FE,EP140,EP140 A,Segunda,08:00,12:00,ED01,Antonio Carlos Dias Junior
FE,EP140,EP140 B,Quarta,19:00,23:00,ED01,Antonio Carlos Dias Junior
FE,EP142,EP142 A,Quarta,14:00,18:00,ED02,Alice Martins Villela Pinto
FE,EP142,EP142 B,Quinta,19:00,23:00,PB07,Chantal Victoria Medaets
FE,EP146,EP146 A,Quarta,14:00,18:00,ED05,Andre Luiz Correia Goncalves De Oliveira
FE,EP152,EP152 A,Terça,14:00,18:00,PB06,"Ana Lucia Guedes Pinto, Juliana Rink"
FE,EP152,EP152 B,Segunda,19:00,23:00,ED02,Adriana Varani
FE,EP162,EP162 A,Segunda,14:00,18:00,ED01,Guilherme Do Val Toledo Prado
FE,EP162,EP162 B,Quarta,19:00,23:00,ED06,Kelly Cristine Sabino
FE,EP164,EP164 A,Quinta,19:00,23:00,ED06,Cristiane Machado
FE,EP165,EP165 A,Quinta,14:00,18:00,PB04,Fernando Vizotto Galvao
FE,EP330,EP330 A,Quinta,08:00,12:00,ED02,Christian Fernando Ribeiro G. Vinci
FE,EP330,EP330 B,Terça,19:00,23:00,CB12,Christian Fernando Ribeiro G. Vinci
FE,EP340,EP340 A,Quarta,19:00,23:00,ED02,Luciano Pereira
FE,EP348,EP348 A,Quinta,14:00,18:00,ED01,Norma Silvia Trindade De Lima
FE,EP348,EP348 B,Sexta,19:00,23:00,ED02,Norma Silvia Trindade De Lima
FE,EP376,EP376 A,Sexta,08:00,12:00,LL01,Ana Lucia Guedes Pinto
FE,EP376,EP376 B,Sexta,08:00,12:00,LL02,Adriana Varani
FE,EP376,EP376 D,Quarta,19:00,23:00,ED09,Juliana Rink
FE,EP376,EP376 E,Quarta,19:00,23:00,ED10,Ines Ferreira De Souza Braganca
FE,EP376,EP376 F,Quarta,19:00,23:00,ED11,Guilherme Do Val Toledo Prado
FE,EP376,EP376 G,Quarta,19:00,23:00,ED08,Juliana Rink
